Country,Model,RMSE,AIC,BIC
Poland,AR(12),6.890962024911272,21833.41448411799,21924.65518879782
Poland,MA(12),7.775376449107793,24550.484943360578,24641.759207784802
Ukraine,AR(12),8.733792490825348,45831.03787925373,45932.023185704966
Ukraine,MA(12),8.903864010936314,48820.12164657607,48921.123694434384
